Fecha,Magnitud,Latitud,Longitud,Dist_vallecitos,Dist_AguaBlanca,Dist_LagunaSalada,Dist_SanMiguel,Dist_cerroPrieto
2000-01-14,3.0,32.17,-116.49,0.07071067811866079,0.5714017850864668,0.8607234807022461,0.1943834407464343,0.1943834407464343
2000-02-01,2.8,32.6,-116.16,0.5374011537017848,1.0662551289442894,0.5629861774591961,0.6037020293282208,0.6037020293282208
2000-02-06,3.1,32.68,-116.09,0.6435060217278494,1.1661903789690578,0.5434000708727915,0.7032553709260959,0.7032553709260959
2000-02-10,3.0,31.82,-116.17,0.5448853090330131,0.42190046219457866,0.7494940461220714,0.2799118772295475,0.2799118772295475
2000-02-25,3.0,33.0,-115.55,1.2603570922560081,1.7089177862027196,0.6475391189763274,1.2619865208320504,1.2619865208320504
2000-02-25,3.1,33.0,-115.55,1.2603570922560081,1.7089177862027196,0.6475391189763274,1.2619865208320504,1.2619865208320504
2000-04-09,4.1,32.69,-115.39,1.2423365083583482,1.5772444325468369,0.4202280022919895,1.1705922590916822,1.1705922590916822
2000-04-25,3.8,32.18,-115.02,1.5205262246998672,1.6175598906995727,0.6558571660368417,1.3446419842119983,1.3446419842119983
2000-04-25,3.6,32.14,-115.11,1.4322360140703136,1.5192103211866368,0.5837546897432473,1.251071713739523,1.251071713739523
2000-05-01,3.0,32.16,-115.07,1.4712239802287206,1.563713528751356,0.6141687579956985,1.292791486312763,1.292791486312763
2000-05-01,3.1,32.17,-115.07,1.4708500943332186,1.5673225577397984,0.6109802444940501,1.2938426624772108,1.2938426624772108
2000-05-02,4.5,32.24,-114.96,1.5801265772083068,1.6954350474140918,0.700985019872094,1.4119890868703804,1.4119890868703804
2000-05-02,3.7,32.04,-115.11,1.4412841496387934,1.4866068747318515,0.628357843236569,1.246190335095569,1.246190335095569
2000-05-02,4.4,32.26,-114.92,1.6204937519163765,1.7400287353949053,0.7374372675596244,1.4545936118396185,1.4545936118396185
2000-05-02,3.0,32.14,-115.09,1.4522052196573347,1.5379206741571532,0.6023228409113883,1.2709941470508757,1.2709941470508757
2000-05-02,3.8,32.12,-115.04,1.503329637837291,1.5781318069160069,0.656173589967881,1.3192809889507928,1.3192809889507928
2000-05-02,3.1,32.17,-115.09,1.4508618128546935,1.548709139896835,0.5920081015287394,1.2739635576921522,1.2739635576921522
2000-05-03,3.3,32.18,-115.09,1.4505516192125008,1.5524174696259998,0.5888694151844662,1.2751086834034968,1.2751086834034968
2000-05-04,3.3,32.19,-115.06,1.4803040228277473,1.5839823231336871,0.6146508637700204,1.3060971235065273,1.3060971235065273
2000-05-04,3.6,32.14,-115.11,1.4322360140703136,1.5192103211866368,0.5837546897432473,1.251071713739523,1.251071713739523
2000-05-22,3.0,32.59,-116.14,0.5448853090330184,1.064048871058094,0.5406321365146778,0.6011512463349841,0.6011512463349841
2000-05-30,3.3,32.0,-116.34,0.2973213749463712,0.4428317965096883,0.7778999178500849,0.033233268688929375,0.033233268688929375
2000-06-14,4.2,32.9,-115.5,1.2425779653607303,1.658583733189252,0.5602937793516463,1.2212837997060106,1.2212837997060106
2000-06-14,2.8,32.89,-115.5,1.2371337841963639,1.6507574019219178,0.5506682515962956,1.2141726035704317,1.2141726035704317
2000-06-14,3.0,32.9,-115.5,1.2425779653607303,1.658583733189252,0.5602937793516463,1.2212837997060106,1.2212837997060106
2000-06-14,3.0,32.9,-115.5,1.2425779653607303,1.658583733189252,0.5602937793516463,1.2212837997060106,1.2212837997060106
2000-06-14,2.8,32.89,-115.5,1.2371337841963639,1.6507574019219178,0.5506682515962956,1.2141726035704317,1.2141726035704317
2000-06-14,2.8,32.89,-115.51,1.2287391912037333,1.6445364088398864,0.5480181473938177,1.2071421899684265,1.2071421899684265
2000-06-14,3.3,32.89,-115.5,1.2371337841963639,1.6507574019219178,0.5506682515962956,1.2141726035704317,1.2141726035704317
2000-06-14,3.0,32.9,-115.51,1.2342204017111378,1.6523922052587832,0.5576894169131975,1.2142945585668738,1.2142945585668738
2000-06-14,2.9,32.89,-115.51,1.2287391912037333,1.6445364088398864,0.5480181473938177,1.2071421899684265,1.2071421899684265
2000-06-14,2.9,32.89,-115.51,1.2287391912037333,1.6445364088398864,0.5480181473938177,1.2071421899684265,1.2071421899684265
2000-06-14,3.1,32.88,-115.51,1.223315167894197,1.6367040050051795,0.5383588895977495,1.2000305240444586,1.2000305240444586
2000-06-14,2.9,32.88,-115.51,1.223315167894197,1.6367040050051795,0.5383588895977495,1.2000305240444586,1.2000305240444586
2000-06-14,3.2,32.88,-115.51,1.223315167894197,1.6367040050051795,0.5383588895977495,1.2000305240444586,1.2000305240444586
2000-06-14,3.4,32.87,-115.51,1.2179490958164059,1.6288953311984111,0.528712301866416,1.192960288725092,1.192960288725092
2000-06-14,2.8,32.9,-115.5,1.2425779653607303,1.658583733189252,0.5602937793516463,1.2212837997060106,1.2212837997060106
2000-06-14,3.0,32.9,-115.51,1.2342204017111378,1.6523922052587832,0.5576894169131975,1.2142945585668738,1.2142945585668738
2000-06-14,4.5,32.88,-115.5,1.231746727213033,1.6429546554911385,0.5410563070994467,1.2071023581692024,1.2071023581692024
2000-06-14,3.5,32.9,-115.52,1.2258874336577648,1.6462381358722082,0.5552529624358766,1.2073476841845978,1.2073476841845978
2000-06-14,2.8,32.87,-115.51,1.2179490958164059,1.6288953311984111,0.528712301866416,1.192960288725092,1.192960288725092
2000-06-14,3.6,32.87,-115.51,1.2179490958164059,1.6288953311984111,0.528712301866416,1.192960288725092,1.192960288725092
