Fecha,Magnitud,Latitud,Longitud
2009-11-03,3.8,31.97,-115.54
2009-12-06,3.9,32.37,-115.25
2009-12-30,5.7,32.48,-115.24
2010-01-10,4.1,32.44,-115.16
2010-02-14,4.0,31.8,-115.2
2010-03-17,4.0,32.37,-115.34
2010-03-21,4.1,32.33,-115.24
2010-03-21,4.2,32.38,-115.34
2010-03-21,3.9,32.32,-115.34
2010-03-31,4.3,32.44,-115.15
2010-04-03,4.0,32.62,-115.41
2010-04-03,4.2,32.46,-115.33
2010-04-03,3.6,32.57,-115.39
2010-04-04,4.1,32.52,-115.19
2010-04-04,3.7,32.42,-115.41
2010-04-04,7.2,32.47,-115.37
2010-04-04,3.8,32.26,-114.9
2010-04-04,3.1,32.22,-114.91
2010-04-04,4.3,32.3,-115.19
2010-04-04,3.6,32.37,-115.01
2010-04-04,4.5,32.36,-115.3
2010-04-04,4.4,32.06,-115.0
2010-04-04,3.3,32.26,-115.66
2010-04-04,4.5,32.0,-114.78
2010-04-04,3.6,32.2,-115.48
2010-04-04,3.4,31.96,-115.21
2010-04-04,3.2,31.93,-115.03
2010-04-04,3.1,31.74,-115.02
2010-04-04,3.0,32.46,-115.27
2010-04-04,4.1,32.2,-115.07
2010-04-04,4.0,32.31,-115.34
2010-04-04,3.6,32.27,-115.19
2010-04-04,4.0,32.66,-115.79
2010-04-04,4.1,32.35,-115.28
2010-04-04,4.1,32.66,-115.57
2010-04-04,4.0,32.78,-115.8
2010-04-04,4.0,32.31,-115.14
2010-04-04,3.6,32.11,-114.88
2010-04-05,4.1,32.75,-115.78
2010-04-05,4.0,32.23,-115.2
2010-04-05,3.7,32.19,-115.38
2010-04-05,3.8,32.2,-115.39
2010-04-05,4.2,32.38,-115.29
2010-04-05,3.7,32.0,-114.92
2010-04-05,4.8,32.87,-115.93
2010-04-05,4.7,32.8,-115.73
2010-04-05,3.9,32.31,-115.26
2010-04-05,3.5,32.1,-114.93
2010-04-05,3.3,32.06,-115.22
2010-04-05,3.5,32.51,-115.59
2010-04-05,3.8,32.28,-115.25
