Fecha,Magnitud,Latitud,Longitud
2012-08-26,5.5,33.2658,-115.495
2012-08-26,3.8,33.1847,-115.614
2012-08-26,4.2,33.0992,-115.536
2012-08-26,5.6,33.087,-115.474
2012-08-26,3.7,33.2743,-115.451
2012-08-26,3.5,33.1232,-115.529
2012-08-26,4.5,33.2555,-115.454
2012-08-26,3.8,33.0587,-115.516
2012-08-26,4.8,33.1555,-115.432
2012-08-27,3.8,33.1502,-115.471
2012-08-27,4.3,33.2123,-115.519
2012-08-28,3.4,32.8182,-116.037
2012-09-26,3.7,33.033,-116.301
2012-10-07,4.2,33.1277,-116.562
2012-12-14,6.4,31.1935,-119.415
2012-12-22,4.0,33.0753,-116.901
2013-01-20,3.5,31.8865,-116.809
2013-01-20,4.0,31.2088,-119.225
2013-02-17,3.8,32.9818,-116.924
2013-02-22,4.1,32.1578,-117.643
2013-03-01,3.8,32.7625,-115.825
2013-03-26,3.4,32.554,-116.768
2013-04-15,3.7,32.7653,-116.108
2013-07-13,3.5,32.5358,-116.88
2013-07-13,3.5,33.0057,-116.985
2013-07-28,3.2,32.1988,-116.562
2013-07-29,3.1,32.2485,-116.737
2013-09-03,3.6,33.1862,-117.326
2013-09-06,3.6,32.9353,-116.682
2013-09-18,3.7,33.0215,-116.746
2013-09-20,3.8,33.257,-117.299
2013-09-22,3.8,33.36,-117.327
2013-09-28,3.6,33.0637,-116.551
2013-09-29,3.8,32.9245,-116.1
2013-10-02,4.0,32.1478,-117.621
2013-11-03,3.6,33.4665,-116.661
2013-11-11,3.8,33.2818,-118.177
2013-12-25,4.2,32.5978,-116.277
2014-01-27,3.8,33.4645,-117.574
2014-02-01,3.7,32.5227,-116.292
2014-02-05,3.3,32.5038,-116.782
2014-02-09,3.2,32.9533,-116.55
2014-02-14,3.6,33.0343,-116.718
2014-03-04,4.9,31.169,-119.473
2014-03-06,3.6,32.9877,-116.658
2014-07-20,3.9,32.6362,-117.768
2014-09-07,4.3,32.205,-117.613
2015-03-18,3.3,31.848,-117.425
2015-04-30,3.1,32.4565,-116.359
2015-05-14,3.2,32.4262,-117.329
2015-07-01,3.5,33.0742,-115.615
2015-07-01,2.5,32.2673,-116.407
2015-07-08,3.5,33.1337,-117.288
2015-07-09,3.1,32.5745,-116.63
2015-07-10,3.4,32.9962,-117.038
2015-07-14,3.2,33.2273,-117.183
2015-07-23,3.4,32.7643,-115.94
2015-07-25,3.4,32.1187,-117.043
2015-08-09,3.7,32.3793,-116.441
2015-08-24,3.5,32.8043,-116.618
2015-09-08,3.4,32.3392,-116.568
2015-09-10,2.9,32.907,-116.081
2015-09-11,3.5,33.0362,-116.541
2015-09-12,3.2,32.7433,-116.858
2015-09-16,3.4,32.7623,-116.256
2015-11-28,3.2,32.5237,-117.106
2015-12-01,3.3,31.9617,-117.229
2015-12-09,3.5,32.0927,-116.76
2016-02-12,4.2,32.0665,-117.448
2016-03-01,3.7,31.5893,-117.139
2016-03-01,3.7,31.5987,-117.083
2016-03-08,3.4,32.1882,-116.922
2016-05-18,3.5,32.721,-116.323
2016-06-09,3.1,32.2683,-116.3
2016-06-14,3.8,32.4393,-116.262
2016-09-12,2.4,32.4307,-116.705
2016-09-12,3.0,32.308,-117.791
2016-11-11,2.9,32.2525,-116.507
2016-11-19,2.6,32.037,-117.295
2016-12-21,2.6,32.4828,-116.38
2017-01-19,3.6,32.1858,-116.785
2017-03-13,3.1,32.431,-116.19
2017-03-16,2.7,32.2178,-116.561
2017-03-16,2.6,32.2138,-116.578
2017-03-29,2.8,32.0693,-116.81
2017-04-01,4.1,32.5135,-116.934
2017-04-08,3.2,32.47,-116.912
2017-04-20,3.0,32.1092,-116.793
2017-06-06,3.2,32.5063,-116.295
2017-07-20,3.5,31.9672,-117.219
2017-07-20,2.9,31.929,-117.117
2017-07-20,3.1,31.929,-117.117
2017-08-05,3.2,31.9877,-116.796
2017-08-06,2.3,32.4725,-116.326
2017-08-17,3.4,31.9315,-117.104
2017-09-28,3.4,32.4138,-116.362
2017-10-15,2.6,32.435,-116.547
2017-10-27,2.8,32.1175,-116.695
2017-11-08,3.3,32.3105,-116.419
2017-11-10,3.8,32.4352,-116.852
2017-11-11,3.6,31.8613,-117.124
2017-11-12,3.7,32.1445,-116.689
2017-11-15,3.5,32.1868,-116.571
2017-12-02,2.3,32.115,-116.67
2018-02-06,2.7,32.1857,-116.552
2018-02-23,2.9,32.2848,-116.406
2018-03-13,3.5,32.2475,-116.709
2018-03-18,3.4,32.3565,-116.356
